time,traffic_light_id,phase_duration,green_count,yellow_count,red_count,junction_pressure,average_network_pressure,control_type
1950,cluster_5333484038_5333484040,45.0,10,0,8,,,fixed
1950,cluster_6233414067_653114103,45.0,9,0,4,,,fixed
1950,cluster_662383567_662383802,45.0,10,0,8,,,fixed
1950,cluster_663702761_683788963,45.0,8,0,3,,,fixed
1950,cluster_674065949_674065956,45.0,9,0,3,,,fixed
1950,joinedS_1307347931_1307347933_3150421789_662326576_#2more,55.0,3,0,31,,,fixed
1950,joinedS_1307348559_2066330716_3172209320_cluster_2131864632_652533088,55.0,12,0,28,,,fixed
1950,joinedS_206595627_4798976659,55.0,9,0,20,,,fixed
1950,joinedS_250731003_3354483657_3574703794,55.0,6,0,10,,,fixed
1950,joinedS_3172209417_cluster_3172209416_3199107295_3993522046,55.0,13,0,4,,,fixed
1950,joinedS_3646111619_3646111620_cluster_618542191_618542192,55.0,16,0,5,,,fixed
1950,joinedS_6947814997_cluster_1429213457_275517851,55.0,11,0,7,,,fixed
1950,joinedS_cluster_10219054417_10219054418_1307349788_1307349789_#1more_cluster_619174320_662848127,55.0,10,0,17,,,fixed
1950,joinedS_cluster_127658071_3185210190_3185210191_cluster_3185210184_3185210187,55.0,19,0,12,,,fixed
1950,joinedS_cluster_2143718074_3152504905_cluster_258030070_3152504908,55.0,10,0,13,,,fixed
1980,1039403582,45.0,2,0,3,,,fixed
1980,10660932971,30.0,2,0,0,,,fixed
1980,1128187477,30.0,2,0,0,,,fixed
1980,1128191446,30.0,2,0,0,,,fixed
1980,1128192254,30.0,2,0,0,,,fixed
1980,1144975928,30.0,2,0,0,,,fixed
1980,12106210811,45.0,3,0,4,,,fixed
1980,127658086,45.0,8,0,8,,,fixed
1980,127658294,45.0,8,0,8,,,fixed
1980,3172210940,45.0,4,0,3,,,fixed
1980,3340955133,30.0,1,0,2,,,fixed
1980,3531016717,30.0,3,0,0,,,fixed
1980,3550884979,30.0,3,0,0,,,fixed
1980,3550884980,30.0,3,0,0,,,fixed
1980,3646111627,30.0,2,0,0,,,fixed
1980,3646111630,30.0,2,0,0,,,fixed
1980,4324726612,30.0,2,0,0,,,fixed
1980,4506239338,30.0,2,0,0,,,fixed
1980,4944691776,45.0,3,0,4,,,fixed
1980,5333484044,45.0,8,0,3,,,fixed
1980,619152185,45.0,3,0,2,,,fixed
1980,645091738,45.0,3,0,2,,,fixed
1980,671432767,30.0,3,0,0,,,fixed
1980,671432770,30.0,2,0,0,,,fixed
1980,672817127,30.0,1,0,0,,,fixed
1980,8594002901,30.0,2,0,0,,,fixed
1980,8594011465,30.0,2,0,0,,,fixed
1980,9918517205,45.0,4,0,3,,,fixed
1980,cluster_10089844686_10660932931,45.0,10,0,9,,,fixed
1980,cluster_10219043266_10219043267_3152507940_3152507942_#1more,45.0,9,0,7,,,fixed
1980,cluster_10219043268_10219043269_1307349909_3152504914_#2more,45.0,10,0,8,,,fixed
1980,cluster_10219043274_10219043275_10219043276_10219043277_#6more,55.0,9,0,5,,,fixed
1980,cluster_10219043281_10219043283_10219043284_618528183_#2more,45.0,10,0,5,,,fixed
1980,cluster_10219054419_10219054420_635166201_662848128,55.0,14,0,10,,,fixed
1980,cluster_10261690663_10261690664_2094306205_403875011_#2more,55.0,10,0,4,,,fixed
1980,cluster_10555850724_619274591,30.0,3,0,0,,,fixed
1980,cluster_10555850725_619274598,30.0,2,0,0,,,fixed
1980,cluster_10660932937_10660933004,45.0,8,0,3,,,fixed
1980,cluster_10660932949_10660932992,45.0,10,0,8,,,fixed
1980,cluster_10660932965_10660932981_10660932982_10660932983,45.0,10,0,8,,,fixed
1980,cluster_10660932989_4086342990,45.0,8,0,3,,,fixed
1980,cluster_10660933002_6661798460,45.0,8,0,3,,,fixed
1980,cluster_10869977167_6991380971,45.0,10,0,4,,,fixed
1980,cluster_10996544533_619152165_663702778,45.0,10,0,0,,,fixed
1980,cluster_12276950494_644610777_672777604,55.0,12,0,7,,,fixed
1980,cluster_1428449258_650721754,45.0,8,0,3,,,fixed
1980,cluster_1428449259_618500301,45.0,10,0,8,,,fixed
1980,cluster_1985256181_1985256189_403874932,45.0,9,0,7,,,fixed
1980,cluster_2066330708_3150421787_3150421800_6233418804_#8more,55.0,12,0,10,,,fixed
1980,cluster_2094306193_4967065459,45.0,9,0,4,,,fixed
1980,cluster_253022586_3150402309_4793209901_662901136_#1more,55.0,14,0,12,,,fixed
1980,cluster_2578254849_619140979,45.0,8,0,3,,,fixed
1980,cluster_270333418_3191696090_3191696091_3191696092_#1more,45.0,11,0,8,,,fixed
1980,cluster_3150394234_3887415833_619297623_7043382050,45.0,11,0,8,,,fixed
1980,cluster_3384207073_3384207077_618543041_8943920963,45.0,10,0,4,,,fixed
1980,cluster_3502135115_3502135116_3528725850_403874915_#1more,45.0,10,0,6,,,fixed
1980,cluster_3528725848_644608075,45.0,8,0,3,,,fixed
1980,cluster_3528725849_403874920,45.0,8,0,3,,,fixed
1980,cluster_4056837130_7625469737,45.0,8,0,3,,,fixed
1980,cluster_4056850010_4056850011,45.0,4,0,7,,,fixed
1980,cluster_5333484038_5333484040,45.0,10,0,8,,,fixed
1980,cluster_6233414067_653114103,45.0,9,0,4,,,fixed
1980,cluster_662383567_662383802,45.0,10,0,8,,,fixed
1980,cluster_663702761_683788963,45.0,8,0,3,,,fixed
1980,cluster_674065949_674065956,45.0,9,0,3,,,fixed
1980,joinedS_1307347931_1307347933_3150421789_662326576_#2more,55.0,3,0,31,,,fixed
1980,joinedS_1307348559_2066330716_3172209320_cluster_2131864632_652533088,55.0,12,0,28,,,fixed
1980,joinedS_206595627_4798976659,55.0,9,0,20,,,fixed
1980,joinedS_250731003_3354483657_3574703794,55.0,6,0,10,,,fixed
1980,joinedS_3172209417_cluster_3172209416_3199107295_3993522046,55.0,13,0,4,,,fixed
1980,joinedS_3646111619_3646111620_cluster_618542191_618542192,55.0,16,0,5,,,fixed
1980,joinedS_6947814997_cluster_1429213457_275517851,55.0,11,0,7,,,fixed
1980,joinedS_cluster_10219054417_10219054418_1307349788_1307349789_#1more_cluster_619174320_662848127,55.0,10,0,17,,,fixed
1980,joinedS_cluster_127658071_3185210190_3185210191_cluster_3185210184_3185210187,55.0,19,0,12,,,fixed
1980,joinedS_cluster_2143718074_3152504905_cluster_258030070_3152504908,55.0,10,0,13,,,fixed
2010,1039403582,45.0,2,0,3,,,fixed
2010,10660932971,30.0,2,0,0,,,fixed
2010,1128187477,30.0,2,0,0,,,fixed
2010,1128191446,30.0,2,0,0,,,fixed
2010,1128192254,30.0,2,0,0,,,fixed
2010,1144975928,30.0,2,0,0,,,fixed
2010,12106210811,45.0,3,0,4,,,fixed
2010,127658086,45.0,8,0,8,,,fixed
2010,127658294,45.0,8,0,8,,,fixed
2010,3172210940,45.0,4,0,3,,,fixed
2010,3340955133,30.0,1,0,2,,,fixed
2010,3531016717,30.0,3,0,0,,,fixed
2010,3550884979,30.0,3,0,0,,,fixed
2010,3550884980,30.0,3,0,0,,,fixed
2010,3646111627,30.0,2,0,0,,,fixed
2010,3646111630,30.0,2,0,0,,,fixed
2010,4324726612,30.0,2,0,0,,,fixed
2010,4506239338,30.0,2,0,0,,,fixed
2010,4944691776,45.0,3,0,4,,,fixed
2010,5333484044,45.0,8,0,3,,,fixed
2010,619152185,45.0,3,0,2,,,fixed
2010,645091738,45.0,3,0,2,,,fixed
2010,671432767,30.0,3,0,0,,,fixed
2010,671432770,30.0,2,0,0,,,fixed
2010,672817127,30.0,1,0,0,,,fixed
2010,8594002901,30.0,2,0,0,,,fixed
2010,8594011465,30.0,2,0,0,,,fixed
2010,9918517205,45.0,4,0,3,,,fixed
2010,cluster_10089844686_10660932931,45.0,10,0,9,,,fixed
2010,cluster_10219043266_10219043267_3152507940_3152507942_#1more,45.0,9,0,7,,,fixed
2010,cluster_10219043268_10219043269_1307349909_3152504914_#2more,45.0,10,0,8,,,fixed
2010,cluster_10219043274_10219043275_10219043276_10219043277_#6more,55.0,9,0,5,,,fixed
2010,cluster_10219043281_10219043283_10219043284_618528183_#2more,45.0,10,0,5,,,fixed
2010,cluster_10219054419_10219054420_635166201_662848128,55.0,14,0,10,,,fixed
2010,cluster_10261690663_10261690664_2094306205_403875011_#2more,55.0,10,0,4,,,fixed
2010,cluster_10555850724_619274591,30.0,3,0,0,,,fixed
2010,cluster_10555850725_619274598,30.0,2,0,0,,,fixed
2010,cluster_10660932937_10660933004,45.0,8,0,3,,,fixed
2010,cluster_10660932949_10660932992,45.0,10,0,8,,,fixed
2010,cluster_10660932965_10660932981_10660932982_10660932983,45.0,10,0,8,,,fixed
2010,cluster_10660932989_4086342990,45.0,8,0,3,,,fixed
2010,cluster_10660933002_6661798460,45.0,8,0,3,,,fixed
2010,cluster_10869977167_6991380971,45.0,10,0,4,,,fixed
2010,cluster_10996544533_619152165_663702778,45.0,10,0,0,,,fixed
2010,cluster_12276950494_644610777_672777604,55.0,12,0,7,,,fixed
2010,cluster_1428449258_650721754,45.0,8,0,3,,,fixed
2010,cluster_1428449259_618500301,45.0,10,0,8,,,fixed
2010,cluster_1985256181_1985256189_403874932,45.0,9,0,7,,,fixed
2010,cluster_2066330708_3150421787_3150421800_6233418804_#8more,55.0,12,0,10,,,fixed
2010,cluster_2094306193_4967065459,45.0,9,0,4,,,fixed
2010,cluster_253022586_3150402309_4793209901_662901136_#1more,55.0,14,0,12,,,fixed
2010,cluster_2578254849_619140979,45.0,8,0,3,,,fixed
2010,cluster_270333418_3191696090_3191696091_3191696092_#1more,45.0,11,0,8,,,fixed
2010,cluster_3150394234_3887415833_619297623_7043382050,45.0,11,0,8,,,fixed
2010,cluster_3384207073_3384207077_618543041_8943920963,45.0,10,0,4,,,fixed
2010,cluster_3502135115_3502135116_3528725850_403874915_#1more,45.0,10,0,6,,,fixed
2010,cluster_3528725848_644608075,45.0,8,0,3,,,fixed
2010,cluster_3528725849_403874920,45.0,8,0,3,,,fixed
2010,cluster_4056837130_7625469737,45.0,8,0,3,,,fixed
2010,cluster_4056850010_4056850011,45.0,4,0,7,,,fixed
2010,cluster_5333484038_5333484040,45.0,10,0,8,,,fixed
2010,cluster_6233414067_653114103,45.0,9,0,4,,,fixed
2010,cluster_662383567_662383802,45.0,10,0,8,,,fixed
2010,cluster_663702761_683788963,45.0,8,0,3,,,fixed
2010,cluster_674065949_674065956,45.0,9,0,3,,,fixed
2010,joinedS_1307347931_1307347933_3150421789_662326576_#2more,55.0,3,0,31,,,fixed
2010,joinedS_1307348559_2066330716_3172209320_cluster_2131864632_652533088,55.0,12,0,28,,,fixed
2010,joinedS_206595627_4798976659,55.0,9,0,20,,,fixed
2010,joinedS_250731003_3354483657_3574703794,55.0,6,0,10,,,fixed
2010,joinedS_3172209417_cluster_3172209416_3199107295_3993522046,55.0,13,0,4,,,fixed
2010,joinedS_3646111619_3646111620_cluster_618542191_618542192,55.0,16,0,5,,,fixed
2010,joinedS_6947814997_cluster_1429213457_275517851,55.0,11,0,7,,,fixed
2010,joinedS_cluster_10219054417_10219054418_1307349788_1307349789_#1more_cluster_619174320_662848127,55.0,10,0,17,,,fixed
2010,joinedS_cluster_127658071_3185210190_3185210191_cluster_3185210184_3185210187,55.0,19,0,12,,,fixed
2010,joinedS_cluster_2143718074_3152504905_cluster_258030070_3152504908,55.0,10,0,13,,,fixed
2040,1039403582,45.0,2,0,3,,,fixed
2040,10660932971,30.0,2,0,0,,,fixed
2040,1128187477,30.0,2,0,0,,,fixed
2040,1128191446,30.0,2,0,0,,,fixed
2040,1128192254,30.0,2,0,0,,,fixed
2040,1144975928,30.0,2,0,0,,,fixed
2040,12106210811,45.0,3,0,4,,,fixed
2040,127658086,45.0,8,0,8,,,fixed
2040,127658294,45.0,8,0,8,,,fixed
2040,3172210940,45.0,4,0,3,,,fixed
2040,3340955133,30.0,1,0,2,,,fixed
2040,3531016717,30.0,3,0,0,,,fixed
2040,3550884979,30.0,3,0,0,,,fixed
2040,3550884980,30.0,3,0,0,,,fixed
2040,3646111627,30.0,2,0,0,,,fixed
2040,3646111630,30.0,2,0,0,,,fixed
2040,4324726612,30.0,2,0,0,,,fixed
2040,4506239338,30.0,2,0,0,,,fixed
2040,4944691776,45.0,3,0,4,,,fixed
2040,5333484044,45.0,8,0,3,,,fixed
2040,619152185,45.0,3,0,2,,,fixed
2040,645091738,45.0,3,0,2,,,fixed
2040,671432767,30.0,3,0,0,,,fixed
2040,671432770,30.0,2,0,0,,,fixed
2040,672817127,30.0,1,0,0,,,fixed
2040,8594002901,30.0,2,0,0,,,fixed
2040,8594011465,30.0,2,0,0,,,fixed
2040,9918517205,45.0,4,0,3,,,fixed
2040,cluster_10089844686_10660932931,45.0,10,0,9,,,fixed
2040,cluster_10219043266_10219043267_3152507940_3152507942_#1more,45.0,9,0,7,,,fixed
2040,cluster_10219043268_10219043269_1307349909_3152504914_#2more,45.0,10,0,8,,,fixed
2040,cluster_10219043274_10219043275_10219043276_10219043277_#6more,55.0,9,0,5,,,fixed
2040,cluster_10219043281_10219043283_10219043284_618528183_#2more,45.0,10,0,5,,,fixed
2040,cluster_10219054419_10219054420_635166201_662848128,55.0,14,0,10,,,fixed
2040,cluster_10261690663_10261690664_2094306205_403875011_#2more,55.0,10,0,4,,,fixed
2040,cluster_10555850724_619274591,30.0,3,0,0,,,fixed
2040,cluster_10555850725_619274598,30.0,2,0,0,,,fixed
2040,cluster_10660932937_10660933004,45.0,8,0,3,,,fixed
2040,cluster_10660932949_10660932992,45.0,10,0,8,,,fixed
2040,cluster_10660932965_10660932981_10660932982_10660932983,45.0,10,0,8,,,fixed
2040,cluster_10660932989_4086342990,45.0,8,0,3,,,fixed
2040,cluster_10660933002_6661798460,45.0,8,0,3,,,fixed
2040,cluster_10869977167_6991380971,45.0,10,0,4,,,fixed
2040,cluster_10996544533_619152165_663702778,45.0,10,0,0,,,fixed
2040,cluster_12276950494_644610777_672777604,55.0,12,0,7,,,fixed
2040,cluster_1428449258_650721754,45.0,8,0,3,,,fixed
2040,cluster_1428449259_618500301,45.0,10,0,8,,,fixed
2040,cluster_1985256181_1985256189_403874932,45.0,9,0,7,,,fixed
2040,cluster_2066330708_3150421787_3150421800_6233418804_#8more,55.0,12,0,10,,,fixed
2040,cluster_2094306193_4967065459,45.0,9,0,4,,,fixed
2040,cluster_253022586_3150402309_4793209901_662901136_#1more,55.0,14,0,12,,,fixed
2040,cluster_2578254849_619140979,45.0,8,0,3,,,fixed
2040,cluster_270333418_3191696090_3191696091_3191696092_#1more,45.0,11,0,8,,,fixed
2040,cluster_3150394234_3887415833_619297623_7043382050,45.0,11,0,8,,,fixed
2040,cluster_3384207073_3384207077_618543041_8943920963,45.0,10,0,4,,,fixed
2040,cluster_3502135115_3502135116_3528725850_403874915_#1more,45.0,10,0,6,,,fixed
2040,cluster_3528725848_644608075,45.0,8,0,3,,,fixed
2040,cluster_3528725849_403874920,45.0,8,0,3,,,fixed
2040,cluster_4056837130_7625469737,45.0,8,0,3,,,fixed
2040,cluster_4056850010_4056850011,45.0,4,0,7,,,fixed
2040,cluster_5333484038_5333484040,45.0,10,0,8,,,fixed
2040,cluster_6233414067_653114103,45.0,9,0,4,,,fixed
2040,cluster_662383567_662383802,45.0,10,0,8,,,fixed
2040,cluster_663702761_683788963,45.0,8,0,3,,,fixed
2040,cluster_674065949_674065956,45.0,9,0,3,,,fixed
2040,joinedS_1307347931_1307347933_3150421789_662326576_#2more,55.0,3,0,31,,,fixed
2040,joinedS_1307348559_2066330716_3172209320_cluster_2131864632_652533088,55.0,12,0,28,,,fixed
2040,joinedS_206595627_4798976659,55.0,9,0,20,,,fixed
2040,joinedS_250731003_3354483657_3574703794,55.0,6,0,10,,,fixed
2040,joinedS_3172209417_cluster_3172209416_3199107295_3993522046,55.0,13,0,4,,,fixed
2040,joinedS_3646111619_3646111620_cluster_618542191_618542192,55.0,16,0,5,,,fixed
2040,joinedS_6947814997_cluster_1429213457_275517851,55.0,11,0,7,,,fixed
2040,joinedS_cluster_10219054417_10219054418_1307349788_1307349789_#1more_cluster_619174320_662848127,55.0,10,0,17,,,fixed
2040,joinedS_cluster_127658071_3185210190_3185210191_cluster_3185210184_3185210187,55.0,19,0,12,,,fixed
2040,joinedS_cluster_2143718074_3152504905_cluster_258030070_3152504908,55.0,10,0,13,,,fixed
2070,1039403582,45.0,2,0,3,,,fixed
2070,10660932971,30.0,2,0,0,,,fixed
2070,1128187477,30.0,2,0,0,,,fixed
2070,1128191446,30.0,2,0,0,,,fixed
2070,1128192254,30.0,2,0,0,,,fixed
2070,1144975928,30.0,2,0,0,,,fixed
2070,12106210811,45.0,3,0,4,,,fixed
2070,127658086,45.0,8,0,8,,,fixed
2070,127658294,45.0,8,0,8,,,fixed
2070,3172210940,45.0,4,0,3,,,fixed
2070,3340955133,30.0,1,0,2,,,fixed
2070,3531016717,30.0,3,0,0,,,fixed
2070,3550884979,30.0,3,0,0,,,fixed
2070,3550884980,30.0,3,0,0,,,fixed
2070,3646111627,30.0,2,0,0,,,fixed
2070,3646111630,30.0,2,0,0,,,fixed
2070,4324726612,30.0,2,0,0,,,fixed
2070,4506239338,30.0,2,0,0,,,fixed
2070,4944691776,45.0,3,0,4,,,fixed
2070,5333484044,45.0,8,0,3,,,fixed
2070,619152185,45.0,3,0,2,,,fixed
2070,645091738,45.0,3,0,2,,,fixed
2070,671432767,30.0,3,0,0,,,fixed
2070,671432770,30.0,2,0,0,,,fixed
2070,672817127,30.0,1,0,0,,,fixed
2070,8594002901,30.0,2,0,0,,,fixed
2070,8594011465,30.0,2,0,0,,,fixed
2070,9918517205,45.0,4,0,3,,,fixed
2070,cluster_10089844686_10660932931,45.0,10,0,9,,,fixed
2070,cluster_10219043266_10219043267_3152507940_3152507942_#1more,45.0,9,0,7,,,fixed
2070,cluster_10219043268_10219043269_1307349909_3152504914_#2more,45.0,10,0,8,,,fixed
2070,cluster_10219043274_10219043275_10219043276_10219043277_#6more,55.0,9,0,5,,,fixed
2070,cluster_10219043281_10219043283_10219043284_618528183_#2more,45.0,10,0,5,,,fixed
2070,cluster_10219054419_10219054420_635166201_662848128,55.0,14,0,10,,,fixed
2070,cluster_10261690663_10261690664_2094306205_403875011_#2more,55.0,10,0,4,,,fixed
2070,cluster_10555850724_619274591,30.0,3,0,0,,,fixed
2070,cluster_10555850725_619274598,30.0,2,0,0,,,fixed
2070,cluster_10660932937_10660933004,45.0,8,0,3,,,fixed
2070,cluster_10660932949_10660932992,45.0,10,0,8,,,fixed
2070,cluster_10660932965_10660932981_10660932982_10660932983,45.0,10,0,8,,,fixed
2070,cluster_10660932989_4086342990,45.0,8,0,3,,,fixed
2070,cluster_10660933002_6661798460,45.0,8,0,3,,,fixed
2070,cluster_10869977167_6991380971,45.0,10,0,4,,,fixed
2070,cluster_10996544533_619152165_663702778,45.0,10,0,0,,,fixed
2070,cluster_12276950494_644610777_672777604,55.0,12,0,7,,,fixed
2070,cluster_1428449258_650721754,45.0,8,0,3,,,fixed
2070,cluster_1428449259_618500301,45.0,10,0,8,,,fixed
2070,cluster_1985256181_1985256189_403874932,45.0,9,0,7,,,fixed
2070,cluster_2066330708_3150421787_3150421800_6233418804_#8more,55.0,12,0,10,,,fixed
2070,cluster_2094306193_4967065459,45.0,9,0,4,,,fixed
2070,cluster_253022586_3150402309_4793209901_662901136_#1more,55.0,14,0,12,,,fixed
2070,cluster_2578254849_619140979,45.0,8,0,3,,,fixed
2070,cluster_270333418_3191696090_3191696091_3191696092_#1more,45.0,11,0,8,,,fixed
2070,cluster_3150394234_3887415833_619297623_7043382050,45.0,11,0,8,,,fixed
2070,cluster_3384207073_3384207077_618543041_8943920963,45.0,10,0,4,,,fixed
2070,cluster_3502135115_3502135116_3528725850_403874915_#1more,45.0,10,0,6,,,fixed
2070,cluster_3528725848_644608075,45.0,8,0,3,,,fixed
2070,cluster_3528725849_403874920,45.0,8,0,3,,,fixed
2070,cluster_4056837130_7625469737,45.0,8,0,3,,,fixed
2070,cluster_4056850010_4056850011,45.0,4,0,7,,,fixed
2070,cluster_5333484038_5333484040,45.0,10,0,8,,,fixed
2070,cluster_6233414067_653114103,45.0,9,0,4,,,fixed
2070,cluster_662383567_662383802,45.0,10,0,8,,,fixed
2070,cluster_663702761_683788963,45.0,8,0,3,,,fixed
2070,cluster_674065949_674065956,45.0,9,0,3,,,fixed
2070,joinedS_1307347931_1307347933_3150421789_662326576_#2more,55.0,3,0,31,,,fixed
2070,joinedS_1307348559_2066330716_3172209320_cluster_2131864632_652533088,55.0,12,0,28,,,fixed
2070,joinedS_206595627_4798976659,55.0,9,0,20,,,fixed
2070,joinedS_250731003_3354483657_3574703794,55.0,6,0,10,,,fixed
2070,joinedS_3172209417_cluster_3172209416_3199107295_3993522046,55.0,13,0,4,,,fixed
2070,joinedS_3646111619_3646111620_cluster_618542191_618542192,55.0,16,0,5,,,fixed
2070,joinedS_6947814997_cluster_1429213457_275517851,55.0,11,0,7,,,fixed
2070,joinedS_cluster_10219054417_10219054418_1307349788_1307349789_#1more_cluster_619174320_662848127,55.0,10,0,17,,,fixed
2070,joinedS_cluster_127658071_3185210190_3185210191_cluster_3185210184_3185210187,55.0,19,0,12,,,fixed
2070,joinedS_cluster_2143718074_3152504905_cluster_258030070_3152504908,55.0,10,0,13,,,fixed
2100,1039403582,45.0,2,0,3,,,fixed
2100,10660932971,30.0,2,0,0,,,fixed
2100,1128187477,30.0,2,0,0,,,fixed
2100,1128191446,30.0,2,0,0,,,fixed
2100,1128192254,30.0,2,0,0,,,fixed
2100,1144975928,30.0,2,0,0,,,fixed
2100,12106210811,45.0,3,0,4,,,fixed
2100,127658086,45.0,8,0,8,,,fixed
2100,127658294,45.0,8,0,8,,,fixed
2100,3172210940,45.0,4,0,3,,,fixed
2100,3340955133,30.0,1,0,2,,,fixed
2100,3531016717,30.0,3,0,0,,,fixed
2100,3550884979,30.0,3,0,0,,,fixed
2100,3550884980,30.0,3,0,0,,,fixed
2100,3646111627,30.0,2,0,0,,,fixed
2100,3646111630,30.0,2,0,0,,,fixed
2100,4324726612,30.0,2,0,0,,,fixed
2100,4506239338,30.0,2,0,0,,,fixed
2100,4944691776,45.0,3,0,4,,,fixed
2100,5333484044,45.0,8,0,3,,,fixed
2100,619152185,45.0,3,0,2,,,fixed
2100,645091738,45.0,3,0,2,,,fixed
2100,671432767,30.0,3,0,0,,,fixed
2100,671432770,30.0,2,0,0,,,fixed
2100,672817127,30.0,1,0,0,,,fixed
2100,8594002901,30.0,2,0,0,,,fixed
2100,8594011465,30.0,2,0,0,,,fixed
2100,9918517205,45.0,4,0,3,,,fixed
2100,cluster_10089844686_10660932931,45.0,10,0,9,,,fixed
2100,cluster_10219043266_10219043267_3152507940_3152507942_#1more,45.0,9,0,7,,,fixed
2100,cluster_10219043268_10219043269_1307349909_3152504914_#2more,45.0,10,0,8,,,fixed
2100,cluster_10219043274_10219043275_10219043276_10219043277_#6more,55.0,9,0,5,,,fixed
2100,cluster_10219043281_10219043283_10219043284_618528183_#2more,45.0,10,0,5,,,fixed
2100,cluster_10219054419_10219054420_635166201_662848128,55.0,14,0,10,,,fixed
2100,cluster_10261690663_10261690664_2094306205_403875011_#2more,55.0,10,0,4,,,fixed
2100,cluster_10555850724_619274591,30.0,3,0,0,,,fixed
2100,cluster_10555850725_619274598,30.0,2,0,0,,,fixed
2100,cluster_10660932937_10660933004,45.0,8,0,3,,,fixed
2100,cluster_10660932949_10660932992,45.0,10,0,8,,,fixed
2100,cluster_10660932965_10660932981_10660932982_10660932983,45.0,10,0,8,,,fixed
2100,cluster_10660932989_4086342990,45.0,8,0,3,,,fixed
2100,cluster_10660933002_6661798460,45.0,8,0,3,,,fixed
2100,cluster_10869977167_6991380971,45.0,10,0,4,,,fixed
2100,cluster_10996544533_619152165_663702778,45.0,10,0,0,,,fixed
2100,cluster_12276950494_644610777_672777604,55.0,12,0,7,,,fixed
2100,cluster_1428449258_650721754,45.0,8,0,3,,,fixed
2100,cluster_1428449259_618500301,45.0,10,0,8,,,fixed
2100,cluster_1985256181_1985256189_403874932,45.0,9,0,7,,,fixed
2100,cluster_2066330708_3150421787_3150421800_6233418804_#8more,55.0,12,0,10,,,fixed
2100,cluster_2094306193_4967065459,45.0,9,0,4,,,fixed
2100,cluster_253022586_3150402309_4793209901_662901136_#1more,55.0,14,0,12,,,fixed
2100,cluster_2578254849_619140979,45.0,8,0,3,,,fixed
2100,cluster_270333418_3191696090_3191696091_3191696092_#1more,45.0,11,0,8,,,fixed
2100,cluster_3150394234_3887415833_619297623_7043382050,45.0,11,0,8,,,fixed
2100,cluster_3384207073_3384207077_618543041_8943920963,45.0,10,0,4,,,fixed
2100,cluster_3502135115_3502135116_3528725850_403874915_#1more,45.0,10,0,6,,,fixed
2100,cluster_3528725848_644608075,45.0,8,0,3,,,fixed
2100,cluster_3528725849_403874920,45.0,8,0,3,,,fixed
2100,cluster_4056837130_7625469737,45.0,8,0,3,,,fixed
2100,cluster_4056850010_4056850011,45.0,4,0,7,,,fixed
2100,cluster_5333484038_5333484040,45.0,10,0,8,,,fixed
2100,cluster_6233414067_653114103,45.0,9,0,4,,,fixed
2100,cluster_662383567_662383802,45.0,10,0,8,,,fixed
2100,cluster_663702761_683788963,45.0,8,0,3,,,fixed
2100,cluster_674065949_674065956,45.0,9,0,3,,,fixed
2100,joinedS_1307347931_1307347933_3150421789_662326576_#2more,55.0,3,0,31,,,fixed
2100,joinedS_1307348559_2066330716_3172209320_cluster_2131864632_652533088,55.0,12,0,28,,,fixed
2100,joinedS_206595627_4798976659,55.0,9,0,20,,,fixed
2100,joinedS_250731003_3354483657_3574703794,55.0,6,0,10,,,fixed
2100,joinedS_3172209417_cluster_3172209416_3199107295_3993522046,55.0,13,0,4,,,fixed
2100,joinedS_3646111619_3646111620_cluster_618542191_618542192,55.0,16,0,5,,,fixed
2100,joinedS_6947814997_cluster_1429213457_275517851,55.0,11,0,7,,,fixed
2100,joinedS_cluster_10219054417_10219054418_1307349788_1307349789_#1more_cluster_619174320_662848127,55.0,10,0,17,,,fixed
2100,joinedS_cluster_127658071_3185210190_3185210191_cluster_3185210184_3185210187,55.0,19,0,12,,,fixed
2100,joinedS_cluster_2143718074_3152504905_cluster_258030070_3152504908,55.0,10,0,13,,,fixed
2130,1039403582,45.0,2,0,3,,,fixed
2130,10660932971,30.0,2,0,0,,,fixed
2130,1128187477,30.0,2,0,0,,,fixed
2130,1128191446,30.0,2,0,0,,,fixed
2130,1128192254,30.0,2,0,0,,,fixed
2130,1144975928,30.0,2,0,0,,,fixed
2130,12106210811,45.0,3,0,4,,,fixed
2130,127658086,45.0,8,0,8,,,fixed
2130,127658294,45.0,8,0,8,,,fixed
2130,3172210940,45.0,4,0,3,,,fixed
2130,3340955133,30.0,1,0,2,,,fixed
2130,3531016717,30.0,3,0,0,,,fixed
2130,3550884979,30.0,3,0,0,,,fixed
2130,3550884980,30.0,3,0,0,,,fixed
2130,3646111627,30.0,2,0,0,,,fixed
2130,3646111630,30.0,2,0,0,,,fixed
2130,4324726612,30.0,2,0,0,,,fixed
2130,4506239338,30.0,2,0,0,,,fixed
2130,4944691776,45.0,3,0,4,,,fixed
2130,5333484044,45.0,8,0,3,,,fixed
2130,619152185,45.0,3,0,2,,,fixed
2130,645091738,45.0,3,0,2,,,fixed
2130,671432767,30.0,3,0,0,,,fixed
2130,671432770,30.0,2,0,0,,,fixed
2130,672817127,30.0,1,0,0,,,fixed
2130,8594002901,30.0,2,0,0,,,fixed
2130,8594011465,30.0,2,0,0,,,fixed
2130,9918517205,45.0,4,0,3,,,fixed
2130,cluster_10089844686_10660932931,45.0,10,0,9,,,fixed
